bibkey,title,match_confidence,score,method
ren_popmag_2020,Popmag: Pop music accompaniment generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
richter_speech_2022,Speech enhancement and dereverberation with diffusion-based generative models,high,0.84,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
rouard_crash_2021,CRASH: raw audio score-based generative modeling for controllable high-resolution drum sound synthesis,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
saito_perceptual-similarity-aware_2021,Perceptual-similarity-aware deep speaker representation learning for multi-speaker generative modeling,high,0.83,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
sawata_versatile_nodate,A Versatile Diffusion-based Generative Refiner for Speech Enhancement,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
sekiguchi_semi-supervised_2019,Semi-supervised multichannel speech enhancement with a deep speech prior,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
serra2022universal,Universal speech enhancement with score-based diffusion,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
shankar_non-parallel_2020,Non-parallel emotion conversion using a deep-generative hybrid network and an adversarial pair discriminator,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
Sisman2020overview,An Overview of Voice Conversion and Its Challenges: From Statistical Modeling to Deep Learning,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
song_neural_2020,Neural text-to-speech with a modeling-by-generation excitation vocoder,high,0.993,appendix item title->bibkey fuzzy match (quoted/unquoted + dehyphen)
song_sintra_2022,SinTra: Learning an inspiration model from a single multi-track music segment,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
subramani_hprnet_2020,Hprnet: Incorporating residual noise modeling for violin in a variational parametric synthesizer,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
Suh2021AI,AI as Social Glue: Uncovering the Roles of Deep Generative AI during Social Music Composition,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
tae2021editts,EdiTTS: Score-based editing for controllable text-to-speech,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
takahashi_hierarchical_nodate,Hierarchical Diffusion Models for Singing Voice Neural Vocoder,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
tan_generative_2020,Generative modelling for controllable audio synthesis of expressive piano performance,high,1.0,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
thio_minimal_2019,A minimal template for interactive web-based demonstrations of musical machine learning,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
tinchev_modelling_2023,Modelling low-resource accents without accent-specific TTS frontend,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
tomczak_drum_2020,Drum synthesis and rhythmic transformation with adversarial autoencoders,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
um_facetron_2022,Facetron: A Multi-speaker Face-to-Speech Model based on Cross-modal Latent Representations,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
valin_real-time_2022,Real-time packet loss concealment with mixed generative and predictive model,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
vasquez_melnet_2019,Melnet: A generative model for audio in the frequency domain,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
verma_generative_2021,A generative model for raw audio using transformer architectures,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wagner_generative_2023,"Generative Models for Improved Naturalness, Intelligibility, and Voicing of Whispered Speech",high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
Wang2020DeepSonar,DeepSonar: Towards Effective and Robust Detection of AI-Synthesized Fake Voices,high,0.89,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wang_armor_2021,Armor: A Benchmark for Meta-evaluation of Artificial Music,low,0.78,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wang_neuraldps_2022,Neuraldps: Neural deterministic plus stochastic model with multiband excitation for noise-controllable waveform generation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wang_neural_2019-1,Neural source-filter-based waveform model for statistical parametric speech synthesis,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wang_neural_2019,Neural source-filter waveform models for statistical parametric speech synthesis,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wang_learning_2020,Learning interpretable representation for controllable polyphonic music generation,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
weiss_wave-tacotron_2021,Wave-tacotron: Spectrogram-free end-to-end text-to-speech synthesis,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
welker_speech_2022,Speech enhancement with score-based generative models in the complex STFT domain,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
whitehill_multi-reference_2019,Multi-reference neural TTS stylization with adversarial cycle consistency,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wilkinson_generative_2019,A generative model for natural sounds based on latent force modelling,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wu_speech--singing_2020,Speech-to-singing conversion based on boundary equilibrium GAN,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wu_ddsp-based_2022,DDSP-based singing vocoders: A new subtractive-based synthesizer and a comprehensive evaluation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wu_power_2022,The Power of Fragmentation: A Hierarchical Transformer Model for Structural Segmentation in Symbolic Music Generation,high,0.996,appendix item title->bibkey fuzzy match (quoted/unquoted + dehyphen)
wu_jazz_2020,The Jazz Transformer on the front line: Exploring the shortcomings of AI-composed music through quantitative measures,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wu_quasi-periodic_2021,Quasi-periodic parallel WaveGAN: a non-autoregressive raw waveform generative model with pitch-dependent dilated convolution neural network,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
wu_quasi-periodic_2021-1,Quasi-periodic WaveNet: An autoregressive raw waveform generative model with pitch-dependent dilated convolution neural network,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
xiang_parallel-data-free_2020,A parallel-data-free speech enhancement method using multi-objective learning cycle-consistent generative adversarial network,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
xie_complex_2022,Complex Recurrent Variational Autoencoder for Speech Enhancement,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
xue_noise_2021,Noise Robust Singing Voice Synthesis Using Gaussian Mixture Variational Autoencoder,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
yamamoto_parallel_2020,Parallel WaveGAN: A fast waveform generation model based on generative adversarial networks with multi-resolution spectrogram,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
yen_cold_nodate,Cold Diffusion for Speech Enhancement,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
yoshimura_mel-cepstrum-based_2018,Mel-cepstrum-based quantization noise shaping applied to neural-network-based speech waveform synthesis,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
you_self-supervised_2021,Self-supervised contrastive cross-modality representation learning for spoken question answering,high,0.83,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
yu_conditional_2021,Conditional lstm-gan for melody generation from lyrics,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhang_sdmuse_nodate,SDMuse: Stochastic Differential Music Editing and Generation via Hybrid Representation,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhang2021restoring,Restoring degraded speech via a modified diffusion model,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhang_wsrglow_2021,WSRGlow: A Glow-based waveform generative model for audio super-resolution,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhang_incorporating_2021,Incorporating multi-target in multi-stage speech enhancement model for better generalization,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhao2021accomontage,Accomontage: Accompaniment arrangement via phrase selection and style transfer,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhao2020vertical,Vertical-Horizontal Structured Attention for Generating Music with Chords,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhao_review_2022,A Review of Intelligent Music Generation Systems,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhou2018voice,Voice conversion with conditional SampleRNN,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhou_generative_2020,Generative melody composition with human-in-the-loop Bayesian optimization,high,1.06,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
zhu_pop_2020,Pop music generation: From melody to multi-style arrangement,high,1.14,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
guo_hierarchical_2021,Hierarchical recurrent neural networks for conditional melody generation with long-term structure,high,1.08,appendix enumerate title->bibkey match (dehyphen + year+surname bonus)
